ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
81	16415957	16415927	16416151	29	224	8	94
82	16416137	16416042	16416331	94	289	20	123
83	16415990	16415964	16416186	25	222	9	94
84	16416014	16415976	16416211	37	235	9	94
85	16416005	16415967	16416203	37	236	9	94
86	16415985	16415962	16416180	22	218	8	94
87	16416065	16416009	16416260	55	251	12	105
88	16416047	16415983	16416242	63	259	15	112
89	16416025	16415990	16416216	34	226	8	94
90	16416023	16415998	16416222	24	224	9	94
91	16416018	16415986	16416214	31	228	8	94
92	16416025	16415974	16416221	50	247	10	105
93	16416029	16415954	16416223	74	269	17	112
94	16416032	16416001	16416227	30	226	8	94
95	16416002	16415971	16416195	30	224	9	94
96	16416024	16415996	16416220	27	224	8	94
97	16415980	16415959	16416178	20	219	8	94
98	16416128	16416039	16416320	88	29	20	123
99	16415992	16415967	16416190	24	223	10	94
100	16416004	16415971	16416197	32	226	8	94
101	16416021	16415986	16416221	34	235	8	95
102	16415982	16415952	16416174	29	222	9	94
103	16416076	16416026	16416274	49	248	11	105
104	16416062	16415977	16416256	84	279	18	112
105	16416002	16415966	16416200	35	234	7	94
106	16416018	16415985	16416216	32	231	9	94
107	16415983	16415951	16416175	31	224	7	94
108	16416068	16416015	16416261	52	246	10	105
109	16416071	16415980	16416261	90	281	16	112
110	16416029	16415993	16416223	35	230	8	94
111	16416003	16415975	16416200	27	225	8	94
112	16416032	16416001	16416224	30	223	8	94
113	16416032	16415976	16416226	55	250	12	105
114	16416047	16415972	16416245	74	273	15	112
115	16416032	16416007	16416227	24	220	8	94
116	16415943	16415912	16416139	30	227	8	94
117	16416054	16416026	16416250	27	224	8	94
118	16415995	16415965	16416184	29	219	8	94
119	16416114	16416014	16416308	99	294	17	123
120	16416001	16415969	16416200	31	231	7	94
